INDEX,POS1,POS2,CNTX,OBJ1,OBJ2,STAR
148,0,0,1,0,0,0
149,0,0,1,0,0,0
150,0,0,1,0,0,0
151,0,0,1,0,0,0
152,0,0,1,0,0,0
153,0,0,1,0,0,0
154,0,0,1,0,0,0
155,0,0,1,0,0,0
156,0,0,1,0,0,0
157,0,0,1,0,0,0
158,0,1,1,0,0,0
159,0,1,1,0,0,0
160,0,1,1,0,0,0
161,0,1,1,0,0,0
162,0,1,1,0,0,0
163,0,1,1,0,0,0
164,0,1,1,0,0,0
165,0,1,1,0,0,0.25
166,0,1,1,0,0,0.272058824
167,0,1,1,0,0,0.294117647
168,0,1,1,0,0,0.316176471
169,0,1,1,0,0,0.338235294
170,0,1,1,0,0,0.360294118
171,0,1,1,0,0,0.382352941
172,0,1,1,0,0,0.404411765
173,0,1,1,0,0,0.426470588
174,0,1,1,0,0,0.448529412
175,0,1,1,0,0,0.470588235
176,0,1,1,0,0,0.492647059
177,0,1,1,0,0,0.514705882
178,0,1,1,0,0,0.536764706
179,0,1,1,0,0,0.558823529
180,0,1,1,0,0,0.580882353
181,0,1,1,0,0,0.602941176
182,0,1,1,0,0,0.625
183,0,1,1,0,0,0.647058824
184,0,1,1,0,0,0.669117647
185,0,1,1,0,0,0.691176471
186,0,1,1,0,0,0.713235294
187,0,1,1,0,0,0.735294118
188,0,1,1,0,0,0.757352941
189,0,1,1,0,0,0.779411765
190,0,1,1,0,0,0.801470588
191,0,1,1,0,0,0.823529412
192,0,1,1,0,0,0.845588235
193,0,1,1,0,0,0.867647059
194,0,1,1,0,0,0.889705882
195,0,1,1,0,0,0.911764706
196,0,1,1,0,0,0.933823529
197,0,1,1,0,0,0.955882353
198,0,1,1,0,0,0.977941176
199,0,1,1,0,0,1
200,0,0,1,0,0,0
201,0,0,1,0,0,0
202,0,0,1,0,0,0
203,0,0,1,0,0,0
204,0,0,1,0,0,0
205,0,0,1,0,0,0
206,0,0,1,0,0,0
207,0,0,1,0,0,0
208,0,0,1,0,0,0
209,0,0,1,0,0,0
210,0,0,1,0,0,0
211,0,0,1,0,0,0
212,0,0,1,0,0,0
213,0,0,1,0,0,0
214,0,0,1,0,0,0
215,0,0,1,0,0,0
216,0,0,1,0,0,0
217,0,0,1,0,0,0
218,0,0,1,0,0,0
219,0,0,1,0,0,0
220,0,0,1,0,0,0
221,0,0,1,0,0,0
222,0,0,1,0,0,0
223,0,0,1,0,0,0
224,1,0,1,0,0,0
225,1,0,1,0,0,0
226,1,0,1,0,0,0
227,1,0,1,0,0,0
228,1,0,1,0,0,0
229,1,0,1,0,0,0
230,1,0,1,0,0,0
231,1,0,1,0,0,0
232,1,0,1,0,0.25,0
233,1,0,1,0,0.272058824,0
234,1,0,1,0,0.294117647,0
235,1,0,1,0,0.316176471,0
236,1,0,1,0,0.338235294,0
237,1,0,1,0,0.360294118,0
238,1,0,1,0,0.382352941,0
239,1,0,1,0,0.404411765,0
240,1,0,1,0,0.426470588,0
241,1,0,1,0,0.448529412,0
242,1,0,1,0,0.470588235,0
243,1,0,1,0,0.492647059,0
244,1,0,1,0,0.514705882,0
245,1,0,1,0,0.536764706,0
246,1,0,1,0,0.558823529,0
247,1,0,1,0,0.580882353,0
248,1,0,1,0,0.602941176,0
249,1,0,1,0,0.625,0
250,1,0,1,0,0.647058824,0
251,1,0,1,0,0.669117647,0
252,1,0,1,0,0.691176471,0
253,1,0,1,0,0.713235294,0
254,1,0,1,0,0.735294118,0
255,1,0,1,0,0.757352941,0
256,1,0,1,0,0.779411765,0
257,1,0,1,0,0.801470588,0
258,1,0,1,0,0.823529412,0
259,1,0,1,0,0.845588235,0
260,1,0,1,0,0.867647059,0
261,1,0,1,0,0.889705882,0
262,1,0,1,0,0.911764706,0
263,1,0,1,0,0.933823529,0
264,1,0,1,0,0.955882353,0
265,1,0,1,0,0.977941176,0
266,1,0,1,0,1,0
267,0,0,2,0,0,0
268,0,0,2,0,0,0
269,0,0,2,0,0,0
270,0,0,2,0,0,0
271,0,0,2,0,0,0
272,0,0,2,0,0,0
273,0,0,2,0,0,0
274,0,0,2,0,0,0
275,0,0,2,0,0,0
276,0,0,2,0,0,0
277,0,0,2,0,0,0
